category_id,views,likes,dislikes,comment_total
10,1379413,55269,694,4383
10,46955,1685,262,648
20,27429,430,15,363
10,48562,2268,36,137
27,896164,23663,911,3139
10,124487,4471,307,617
24,342410,25617,387,2360
17,12208330,411682,8567,21046
19,41169,178,6,79
26,43981,7258,37,1537
24,282915,8924,209,942
10,654311,65224,392,4188
24,1004055,46870,817,5114
2,104166,152,39,36
26,650931,19203,309,2088
1,1546536,36722,1111,6460
15,77810,4298,16,419
26,490309,19610,386,3079
1,263630,4451,169,666
2,1072349,20846,1260,8703
24,3689337,69240,4547,9039
24,78220,2053,41,121
24,1424830,54077,1848,4710
27,46574,1530,36,251
25,234972,501,798,684
26,247504,14354,156,1554
10,287672,24003,168,2502
24,12954,0,0,0
28,32056,1051,27,153
24,151594,1214,65,239
22,88235,4752,62,395
26,95900,6507,67,726
1,971242,26435,748,1055
22,999412,29142,616,6399
22,118315,131,27,72
26,3012697,103685,1534,7761
20,240887,4015,196,1307
26,554486,26842,262,3918
26,36740,2649,23,206
24,17577,1654,12,160
22,188410,546,14,0
10,69071,148,5,33
26,64817,2682,92,511
25,267907,1072,184,0
10,406343,12581,213,471
22,186965,16782,81,1249
26,422306,22594,249,3845
28,33997,180,10,67
10,1465819,75284,1188,4244
10,32489,3979,12,258
23,76023,6729,84,441
29,56311,0,0,0
25,298016,5118,46,754
23,1968008,40143,2033,4709
1,49254,2668,117,547
22,169585,10610,63,1109
2,132165,638,48,140
2,682207,3589,1652,954
23,686381,36812,1322,15557
26,294571,17028,285,1634
24,5287771,19798,2919,2275
17,335308,3947,105,661
23,18744,1830,46,264
10,301893,12305,332,1094
22,5027180,110390,2363,12177
23,51785,4965,13,679
26,156899,10461,143,1203
25,1178955,15427,1003,4730
24,3101709,19954,773,6239
24,65718,159,258,278
28,154746,2186,102,467
25,368018,3531,24306,6466
10,61933,4848,137,699
17,4906976,2473,1582,36
1,216713,5329,60,471
24,389363,16146,648,1686
25,489523,954,139,602
28,34255,149,11,85
27,361683,19006,122,1128
27,282594,13479,235,1461
10,518533,5847,290,413
1,574541,6854,129,982
23,1516624,76278,1541,3989
10,143859,5489,126,361
28,2813499,29658,2316,7275
22,2751415,131470,1174,9680
22,5952,209,14,29
24,109331,2870,101,537
27,5502137,35892,13695,4523
28,2223,261,0,31
26,437796,20699,312,2277
10,201901,10034,148,591
20,119730,5533,73,693
17,140494,391,7,27
25,28768,850,41,274
26,208370,6608,151,393
10,10851,1023,8,111
27,59706,365,12,45
26,1738837,86547,1065,7331
25,585176,3334,1342,6369
10,4085560,198696,11446,21514
23,290939,6341,1613,1053
24,436361,7828,854,1188
25,616112,1207,436,1551
24,2167963,49804,4472,15358
28,1302666,22810,3615,5460
23,408822,3964,1156,1227
1,1040038,12692,978,2083
24,209816,2672,204,256
23,3542861,323439,5411,21570
24,713391,3204,143,582
10,374344,42116,229,6046
22,122900,8278,278,1987
24,238746,9567,169,991
25,347928,16829,527,2111
26,208156,12671,173,1688
23,2333182,155627,1463,18215
23,1681290,79888,810,20228
22,2473453,115156,1149,8206
22,251986,11494,163,1768
23,346500,9275,1606,1653
24,2137663,50615,1001,1655
28,2206069,66696,557,5332
10,171110,14306,111,1028
22,514723,18926,1044,2429
22,322790,6531,1718,1406
24,308063,950,547,947
25,64374,359,139,910
10,1173691,64045,1667,3646
10,132079,3440,142,244
26,656980,22667,419,3212
28,2138396,22501,4440,6835
10,1429515,232107,626,26197
23,1170082,35833,469,4710
26,693376,58213,729,8910
22,87663,9897,81,676
10,11494007,956288,10369,125246
1,1133919,41128,269,1966
28,91673,3258,55,349
10,1314571,96802,1556,9813
26,564319,23238,447,2126
22,1538991,33124,1071,5084
10,222677,15266,314,1019
26,745209,53345,378,3828
28,566224,31738,583,4296
22,454734,49951,168,3935
26,323077,13862,520,2221
28,45382,1268,7,146
17,254289,8443,366,309
25,15616,26,129,92
26,1257169,75023,882,11988
10,39638,246,2,25
25,35272,299,43,366
23,4789657,59921,1247,3796
10,79717,2793,96,298
24,296325,14903,555,1540
22,362844,30831,140,5376
24,293148,1315,1597,1094
1,999381,11123,784,2211
22,840615,9275,820,850
27,138512,5910,778,930
10,3735099,247833,3871,24307
25,162699,471,511,1287
24,1943149,71749,1593,9973
26,86655,3896,96,511
24,130074,4776,73,374
10,140404,9708,45,440
24,33686,200,33,133
10,97595,4829,200,648
23,1155840,48018,916,2990
10,142282,9672,111,509
24,384135,7137,240,645
10,12924,944,7,77
28,18082737,359392,64933,0
10,68044,11632,30,634
26,591039,26543,585,3046
1,112174,499,5,41
10,88087,4447,96,800
10,141997,2399,111,568
26,113565,7870,37,569
15,2162054,45015,917,7757
24,5997736,366401,22885,39626
24,99739,683,35,78
28,4489199,34622,7120,12812
24,395376,7594,428,1053
22,142583,2577,334,1398
10,47399,245,4,30
2,107072,335,6,34
24,63124,1481,6,148
2,14327,500,3,43
22,630887,8478,164,587
24,152008,316,63,272
17,172466,6592,234,590
23,257919,8634,179,1079
27,79920,5028,72,630
22,187405,2912,98,417
24,219423,3294,56,495
23,2846092,152496,1645,8941
26,50981,3376,42,330
22,8002631,672775,52253,128771
23,707295,3286,808,1274
24,200657,15624,96,1260
24,446140,10480,638,1090
26,27935,1361,22,206
26,1463155,90329,2104,14662
10,69693,1987,328,757
28,703033,30469,762,3693
10,146782,637,52,65
24,2036524,36292,1486,4335
10,3058570,116464,8998,7885
10,225692,7364,128,467
17,190020,2761,82,415
1,2047674,45956,823,3534
10,105494,2272,52,303
24,650478,43748,678,9616
10,507320,42844,553,4567
26,59733,3195,15,228
10,82625,15128,64,2344
19,232764,9435,138,2092
10,179986,1016,13,141
28,916980,25042,1009,4799
2,146236,188,50,95
23,197056,15810,265,3230
17,529834,6842,266,3055
23,1119164,44538,736,3150
10,213446,8965,146,829
26,287267,17652,277,2029
26,762446,37871,340,3578
28,4047407,93363,10688,19783
22,2970992,212293,1089,17391
24,519986,21285,485,1597
10,286237,14805,159,1294
1,1584633,36839,1191,4421
22,1825387,81519,1065,4470
28,1072359,41380,1225,3903
23,1355374,44935,1047,2096
28,1423205,6017,1724,2817
10,255271,5630,797,653
10,248158,11312,378,1169
26,51357,7892,44,1633
22,24817,22,1,101
22,217417,20907,35,1584
24,16405,0,0,0
1,3306664,11439,488,1748
2,123746,1238,99,91
17,12912064,422911,8965,21513
26,679543,29584,872,2118
10,152026,4878,350,695
10,68332,2777,41,193
10,1553895,58282,788,4556
1,2120100,82510,1997,4192
10,804340,73825,461,4530
24,35011,1262,62,421
10,66685,5936,21,311
22,83119,1695,66,235
24,365116,26710,392,2476
27,961827,24567,961,2753
26,100016,6696,78,679
19,67156,182,7,94
24,1496784,61212,1247,6124
24,305803,9581,216,995
24,105350,2208,48,125
23,100118,3156,466,429
25,26481,215,29,81
28,205498,12930,209,2479
20,30846,453,17,435
28,59135,1604,36,183
25,403747,1586,298,767
1,292661,4704,187,632
10,103179,169,5,81
15,95741,4749,20,487
1,1596548,37556,1144,6731
22,94842,5011,69,438
26,536693,20794,419,3367
10,43252,7930,20,826
10,20931,302,4,79
10,18089,1157,13,124
26,265660,14984,164,1378
27,52941,1719,38,319
2,1136677,21584,1318,8985
24,209132,1608,83,250
24,1667035,58956,1989,5079
10,355558,26495,181,2266
24,3794392,70200,4587,9142
25,235474,501,799,724
20,250559,4073,200,1361
22,1085106,30373,660,5581
1,986576,26725,759,1124
28,48585,235,14,116
26,3304860,111619,1664,8363
10,26054,1607,44,145
22,232082,632,22,0
1,556461,27542,295,2967
26,593522,27950,283,3416
26,70553,2846,96,554
22,123000,132,27,96
25,18614,146,10,17
26,40511,2814,26,259
